Type,location,id,edges--elec_edge--constraints--MinFlowConstraint,edges--elec_edge--constraints--MinDownTimeConstraint,edges--elec_edge--constraints--CapacityConstraint,edges--elec_edge--constraints--MinUpTimeConstraint,edges--elec_edge--constraints--RampingLimitConstraint,edges--elec_edge--can_retire,edges--elec_edge--unidirectional,edges--elec_edge--commodity,edges--elec_edge--can_expand,edges--elec_edge--uc,edges--elec_edge--has_capacity,edges--fuel_edge--unidirectional,edges--fuel_edge--commodity,edges--fuel_edge--has_capacity,edges--co2_edge--end_vertex,edges--co2_edge--unidirectional,edges--co2_edge--commodity,edges--co2_edge--has_capacity,transforms--constraints--BalanceConstraint,transforms--timedata,edges--elec_edge--integer_decisions,edges--elec_edge--min_down_time,edges--elec_edge--lifetime,edges--elec_edge--wacc,edges--elec_edge--capital_recovery_period,edges--elec_edge--fixed_om_cost,edges--elec_edge--existing_capacity,edges--elec_edge--min_up_time,edges--elec_edge--capacity_size,edges--elec_edge--ramp_down_fraction,edges--elec_edge--end_vertex,edges--elec_edge--variable_om_cost,edges--elec_edge--investment_cost,edges--elec_edge--ramp_up_fraction,edges--elec_edge--min_flow_fraction,edges--elec_edge--startup_cost,edges--fuel_edge--start_vertex,transforms--fuel_consumption,transforms--emission_rate,Note
ThermalPower,BR_AC,BR_AC_H2Power_CC,True,False,True,False,True,True,True,Electricity,True,False,True,True,Hydrogen,False,co2_emitted_BR,True,CO2,False,True,Hydrogen,False,4,30,0.08,20,41190,0,4,570,1,elec_BR_AC,7.53,1155402,1,0.3,61,h2_BR_AC,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_AL,BR_AL_H2Power_CC,True,False,True,False,True,True,True,Electricity,True,False,True,True,Hydrogen,False,co2_emitted_BR,True,CO2,False,True,Hydrogen,False,4,30,0.08,20,41190,0,4,570,1,elec_BR_AL,7.53,1155402,1,0.3,61,h2_BR_AL,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_AP,BR_AP_H2Power_CC,True,False,True,False,True,True,True,Electricity,True,False,True,True,Hydrogen,False,co2_emitted_BR,True,CO2,False,True,Hydrogen,False,4,30,0.08,20,41190,0,4,570,1,elec_BR_AP,7.53,1155402,1,0.3,61,h2_BR_AP,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_AM,BR_AM_H2Power_CC,True,False,True,False,True,True,True,Electricity,True,False,True,True,Hydrogen,False,co2_emitted_BR,True,CO2,False,True,Hydrogen,False,4,30,0.08,20,41190,0,4,570,1,elec_BR_AM,7.53,1155402,1,0.3,61,h2_BR_AM,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_BA,BR_BA_H2Power_CC,True,False,True,False,True,True,True,Electricity,True,False,True,True,Hydrogen,False,co2_emitted_BR,True,CO2,False,True,Hydrogen,False,4,30,0.08,20,41190,0,4,570,1,elec_BR_BA,7.53,1155402,1,0.3,61,h2_BR_BA,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_CE,BR_CE_H2Power_CC,True,False,True,False,True,True,True,Electricity,True,False,True,True,Hydrogen,False,co2_emitted_BR,True,CO2,False,True,Hydrogen,False,4,30,0.08,20,41190,0,4,570,1,elec_BR_CE,7.53,1155402,1,0.3,61,h2_BR_CE,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_DF,BR_DF_H2Power_CC,True,False,True,False,True,True,True,Electricity,True,False,True,True,Hydrogen,False,co2_emitted_BR,True,CO2,False,True,Hydrogen,False,4,30,0.08,20,41190,0,4,570,1,elec_BR_DF,7.53,1155402,1,0.3,61,h2_BR_DF,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_ES,BR_ES_H2Power_CC,True,False,True,False,True,True,True,Electricity,True,False,True,True,Hydrogen,False,co2_emitted_BR,True,CO2,False,True,Hydrogen,False,4,30,0.08,20,41190,0,4,570,1,elec_BR_ES,7.53,1155402,1,0.3,61,h2_BR_ES,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_GO,BR_GO_H2Power_CC,True,False,True,False,True,True,True,Electricity,True,False,True,True,Hydrogen,False,co2_emitted_BR,True,CO2,False,True,Hydrogen,False,4,30,0.08,20,41190,0,4,570,1,elec_BR_GO,7.53,1155402,1,0.3,61,h2_BR_GO,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
ThermalPower,BR_MA,BR_MA_H2Power_CC,True,False,True,False,True,True,True,Electricity,True,False,True,True,Hydrogen,False,co2_emitted_BR,True,CO2,False,True,Hydrogen,False,4,30,0.08,20,41190,0,4,570,1,elec_BR_MA,7.53,1155402,1,0.3,61,h2_BR_MA,1.6949,0,"EPE (2024) - PDE 2034, https://docs.nrel.gov/docs/fy26osti/93617.pdf section 3.4"
