Type;id;transforms--constraints--BalanceConstraint;transforms--timedata;edges--elec_edge--commodity;edges--elec_edge--unidirectional;edges--elec_edge--has_capacity;edges--elec_edge--uc;edges--elec_edge--integer_decisions;edges--elec_edge--constraints--CapacityConstraint;edges--elec_edge--constraints--RampingLimitConstraint;edges--elec_edge--constraints--MinFlowConstraint;edges--elec_edge--constraints--MinUpTimeConstraint;edges--elec_edge--constraints--MinDownTimeConstraint;edges--fuel_edge--commodity;edges--fuel_edge--unidirectional;edges--fuel_edge--has_capacity;edges--co2_edge--commodity;edges--co2_edge--unidirectional;edges--co2_edge--has_capacity;edges--co2_edge--end_vertex;transforms--emission_rate;transforms--fuel_consumption;edges--elec_edge--end_vertex;edges--elec_edge--can_retire;edges--elec_edge--can_expand;edges--elec_edge--existing_capacity;edges--elec_edge--investment_cost;edges--elec_edge--fixed_om_cost;edges--elec_edge--variable_om_cost;edges--elec_edge--capacity_size;edges--elec_edge--startup_cost;edges--elec_edge--startup_fuel_consumption;edges--elec_edge--min_up_time;edges--elec_edge--min_down_time;edges--elec_edge--ramp_up_fraction;edges--elec_edge--ramp_down_fraction;edges--elec_edge--min_flow_fraction;edges--fuel_edge--start_vertex
ThermalPower;BR_MS_Coal;TRUE;Coal;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Coal;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1608403;2.564102564;elec_BR_MS;TRUE;TRUE;0;5307500;67600;4.4;100;100;0.586;168;168;0.1;0.1;0.3;coal_imported
ThermalPower;BR_MT_Coal;TRUE;Coal;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Coal;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1608403;2.564102564;elec_BR_MT;TRUE;TRUE;0;5307500;67600;4.4;100;100;0.586;168;168;0.1;0.1;0.3;coal_imported
ThermalPower;BR_PA_Coal;TRUE;Coal;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Coal;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1608403;2.564102564;elec_BR_PA;TRUE;TRUE;0;5307500;67600;4.4;100;100;0.586;168;168;0.1;0.1;0.3;coal_imported
ThermalPower;BR_PB_Coal;TRUE;Coal;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Coal;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1608403;2.564102564;elec_BR_PB;TRUE;TRUE;0;5307500;67600;4.4;100;100;0.586;168;168;0.1;0.1;0.3;coal_imported
ThermalPower;BR_PE_Coal;TRUE;Coal;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Coal;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1608403;2.564102564;elec_BR_PE;TRUE;TRUE;0;5307500;67600;4.4;100;100;0.586;168;168;0.1;0.1;0.3;coal_imported
ThermalPower;BR_PI_Coal;TRUE;Coal;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Coal;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1608403;2.564102564;elec_BR_PI;TRUE;TRUE;0;5307500;67600;4.4;100;100;0.586;168;168;0.1;0.1;0.3;coal_imported
ThermalPower;BR_PR_Coal;TRUE;Coal;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Coal;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1608403;2.564102564;elec_BR_PR;TRUE;TRUE;0;2677402.3;389253.1;7.53;100;100;0.586;168;168;0.1;0.1;0.3;coal_BR
ThermalPower;BR_RJ_Coal;TRUE;Coal;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Coal;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1608403;2.564102564;elec_BR_RJ;TRUE;TRUE;0;5307500;67600;4.4;100;100;0.586;168;168;0.1;0.1;0.3;coal_imported
ThermalPower;BR_RN_Coal;TRUE;Coal;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Coal;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1608403;2.564102564;elec_BR_RN;TRUE;TRUE;0;5307500;67600;4.4;100;100;0.586;168;168;0.1;0.1;0.3;coal_imported
ThermalPower;BR_RO_Coal;TRUE;Coal;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Coal;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1608403;2.564102564;elec_BR_RO;TRUE;TRUE;0;5307500;67600;4.4;100;100;0.586;168;168;0.1;0.1;0.3;coal_imported
ThermalPower;BR_RR_Coal;TRUE;Coal;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Coal;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1608403;2.564102564;elec_BR_RR;TRUE;TRUE;0;5307500;67600;4.4;100;100;0.586;168;168;0.1;0.1;0.3;coal_imported
ThermalPower;BR_RS_Coal;TRUE;Coal;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Coal;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1608403;2.564102564;elec_BR_RS;TRUE;TRUE;0;2677402.3;389253.1;7.53;100;100;0.586;168;168;0.1;0.1;0.3;coal_BR
ThermalPower;BR_RS_Coal_Existing;TRUE;Coal;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Coal;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.232980498;3.591586613;elec_BR_RS;TRUE;FALSE;695;0;389253.1;7.5256;695;100;0.586;168;168;0.1;0.1;0.4;coal_BR
ThermalPower;BR_SC_Coal;TRUE;Coal;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Coal;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1608403;2.564102564;elec_BR_SC;TRUE;TRUE;0;2677402.3;389253.1;7.53;100;100;0.586;168;168;0.1;0.1;0.3;coal_BR
ThermalPower;BR_SC_Coal_Existing;TRUE;Coal;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Coal;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.297307945;2.932064705;elec_BR_SC;TRUE;FALSE;740;0;389253.1;7.5256;740;100;0.586;168;168;0.1;0.1;0.5454;coal_BR
ThermalPower;BR_SE_Coal;TRUE;Coal;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Coal;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1608403;2.564102564;elec_BR_SE;TRUE;TRUE;0;5307500;67600;4.4;100;100;0.586;168;168;0.1;0.1;0.3;coal_imported
ThermalPower;BR_SP_Coal;TRUE;Coal;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Coal;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1608403;2.564102564;elec_BR_SP;TRUE;TRUE;0;5307500;67600;4.4;100;100;0.586;168;168;0.1;0.1;0.3;coal_imported
ThermalPower;BR_TO_Coal;TRUE;Coal;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;Coal;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1608403;2.564102564;elec_BR_TO;TRUE;TRUE;0;5307500;67600;4.4;100;100;0.586;168;168;0.1;0.1;0.3;coal_imported
