Type;id;transforms--constraints--BalanceConstraint;transforms--timedata;edges--elec_edge--commodity;edges--elec_edge--unidirectional;edges--elec_edge--has_capacity;edges--elec_edge--uc;edges--elec_edge--integer_decisions;edges--elec_edge--constraints--CapacityConstraint;edges--elec_edge--constraints--RampingLimitConstraint;edges--elec_edge--constraints--MinFlowConstraint;edges--elec_edge--constraints--MinUpTimeConstraint;edges--elec_edge--constraints--MinDownTimeConstraint;edges--fuel_edge--commodity;edges--fuel_edge--unidirectional;edges--fuel_edge--has_capacity;edges--co2_edge--commodity;edges--co2_edge--unidirectional;edges--co2_edge--has_capacity;edges--co2_edge--end_vertex;transforms--emission_rate;transforms--fuel_consumption;edges--elec_edge--end_vertex;edges--elec_edge--can_retire;edges--elec_edge--can_expand;edges--elec_edge--existing_capacity;edges--elec_edge--investment_cost;edges--elec_edge--fixed_om_cost;edges--elec_edge--variable_om_cost;edges--elec_edge--capacity_size;edges--elec_edge--startup_cost;edges--elec_edge--startup_fuel_consumption;edges--elec_edge--min_up_time;edges--elec_edge--min_down_time;edges--elec_edge--ramp_up_fraction;edges--elec_edge--ramp_down_fraction;edges--elec_edge--min_flow_fraction;edges--fuel_edge--start_vertex
ThermalPower;BR_GO_Simple_Cycle;TRUE;NaturalGas;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;NaturalGas;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1813528;2.6072995;elec_BR_GO;TRUE;TRUE;0;926793.1034;41190.8046;7.53;100;52;0.58614214;1;1;0.440351;0.440351;0;natgas_BR
ThermalPower;BR_MA_Combined_Cycle;TRUE;NaturalGas;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;NaturalGas;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1813314;2.10561406;elec_BR_MA;TRUE;TRUE;0;1050365.517;41190.8046;7.53;100;104.7;0.58614214;2;1;0.108672;0.108672;0;natgas_BR
ThermalPower;BR_MA_Combined_Cycle_Existing;TRUE;NaturalGas;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;NaturalGas;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1813314;2.10561406;elec_BR_MA;TRUE;FALSE;3024;0;146227.3563;1.1;3024;104.7;0.58614214;2;1;0.108672;0.108672;0;natgas_BR
ThermalPower;BR_MA_Simple_Cycle;TRUE;NaturalGas;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;NaturalGas;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1813528;2.6072995;elec_BR_MA;TRUE;TRUE;0;926793.1034;41190.8046;7.53;100;52;0.58614214;1;1;0.440351;0.440351;0;natgas_BR
ThermalPower;BR_MA_Simple_Cycle_Existing;TRUE;NaturalGas;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;NaturalGas;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1813528;2.6072995;elec_BR_MA;TRUE;FALSE;178;0;41190.8;5;178;52;0.58614214;1;1;0.440351;0.440351;0;natgas_BR
ThermalPower;BR_MG_Combined_Cycle;TRUE;NaturalGas;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;NaturalGas;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1813314;2.10561406;elec_BR_MG;TRUE;TRUE;0;1050365.517;41190.8046;7.53;100;104.7;0.58614214;2;1;0.108672;0.108672;0;natgas_BR
ThermalPower;BR_MG_Combined_Cycle_Existing;TRUE;NaturalGas;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;NaturalGas;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1813314;2.10561406;elec_BR_MG;TRUE;FALSE;235;0;146227.3563;1.1;235;104.7;0.58614214;2;1;0.108672;0.108672;0;natgas_BR
ThermalPower;BR_MG_Simple_Cycle;TRUE;NaturalGas;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;NaturalGas;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1813528;2.6072995;elec_BR_MG;TRUE;TRUE;0;926793.1034;41190.8046;7.53;100;52;0.58614214;1;1;0.440351;0.440351;0;natgas_BR
ThermalPower;BR_MG_Simple_Cycle_Existing;TRUE;NaturalGas;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;NaturalGas;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1813528;2.6072995;elec_BR_MG;TRUE;FALSE;87;0;41190.8;5;87;52;0.58614214;1;1;0.440351;0.440351;0;natgas_BR
ThermalPower;BR_MS_Combined_Cycle;TRUE;NaturalGas;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;NaturalGas;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1813314;2.10561406;elec_BR_MS;TRUE;TRUE;0;1050365.517;41190.8046;7.53;100;104.7;0.58614214;2;1;0.108672;0.108672;0;natgas_BR
ThermalPower;BR_MS_Combined_Cycle_Existing;TRUE;NaturalGas;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;NaturalGas;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1813314;2.10561406;elec_BR_MS;TRUE;FALSE;386;0;146227.3563;1.1;386;104.7;0.58614214;2;1;0.108672;0.108672;0;natgas_BR
ThermalPower;BR_MS_Simple_Cycle;TRUE;NaturalGas;Electricity;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;NaturalGas;TRUE;FALSE;CO2;TRUE;FALSE;co2_emitted_BR;0.1813528;2.6072995;elec_BR_MS;TRUE;TRUE;0;926793.1034;41190.8046;7.53;100;52;0.58614214;1;1;0.440351;0.440351;0;natgas_BR
