Type,id,location,storage--commodity,edges--discharge_edge--unidirectional,edges--discharge_edge--commodity,edges--charge_edge--unidirectional,edges--charge_edge--commodity,storage--min_storage_level,storage--can_retire,storage--can_expand,storage--constraints--StorageCapacityConstraint,storage--constraints--StorageMaxDurationConstraint,storage--constraints--StorageSymmetricCapacityConstraint,storage--constraints--BalanceConstraint,storage--constraints--StorageMinDurationConstraint,storage--max_duration,storage--lifetime,storage--wacc,storage--capital_recovery_period,storage--fixed_om_cost,storage--variable_om_cost,storage--long_duration,storage--max_storage_level,storage--charge_discharge_ratio,storage--investment_cost,storage--loss_fraction,storage--capacity_size,storage--min_duration,storage--existing_capacity,edges--discharge_edge--can_retire,edges--discharge_edge--can_expand,edges--discharge_edge--constraints--StorageDischargeLimitConstraint,edges--discharge_edge--constraints--CapacityConstraint,edges--discharge_edge--lifetime,edges--discharge_edge--wacc,edges--discharge_edge--capital_recovery_period,edges--discharge_edge--fixed_om_cost,edges--discharge_edge--end_vertex,edges--discharge_edge--investment_cost,edges--discharge_edge--variable_om_cost,edges--discharge_edge--has_capacity,edges--discharge_edge--efficiency,edges--discharge_edge--capacity_size,edges--discharge_edge--existing_capacity,edges--charge_edge--can_retire,edges--charge_edge--can_expand,edges--charge_edge--start_vertex,edges--charge_edge--fixed_om_cost,edges--charge_edge--investment_cost,edges--charge_edge--variable_om_cost,edges--charge_edge--has_capacity,edges--charge_edge--efficiency,edges--charge_edge--capacity_size,edges--charge_edge--existing_capacity,Note
Battery,BR_MT_battery,BR_MT,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,0.08,10,8000,0,FALSE,1,1,348000,0,1,1,0,TRUE,TRUE,TRUE,TRUE,30,0.08,20,1675 ,elec_BR_MT,67000 ,1,TRUE,0.93,1,0,FALSE,FALSE,elec_BR_MT,0,0,1,FALSE,0.93,1,0,"Lazard's Levelized Cost of Energy+ (LCOE+), NREL ATB 2024"
Battery,BR_MS_battery,BR_MS,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,0.08,10,8000,0,FALSE,1,1,348000,0,1,1,0,TRUE,TRUE,TRUE,TRUE,30,0.08,20,1675 ,elec_BR_MS,67000 ,1,TRUE,0.93,1,0,FALSE,FALSE,elec_BR_MS,0,0,1,FALSE,0.93,1,0,"Lazard's Levelized Cost of Energy+ (LCOE+), NREL ATB 2024"
Battery,BR_MG_battery,BR_MG,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,0.08,10,8000,0,FALSE,1,1,348000,0,1,1,0,TRUE,TRUE,TRUE,TRUE,30,0.08,20,1675 ,elec_BR_MG,67000 ,1,TRUE,0.93,1,0,FALSE,FALSE,elec_BR_MG,0,0,1,FALSE,0.93,1,0,"Lazard's Levelized Cost of Energy+ (LCOE+), NREL ATB 2024"
Battery,BR_PA_battery,BR_PA,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,0.08,10,8000,0,FALSE,1,1,348000,0,1,1,0,TRUE,TRUE,TRUE,TRUE,30,0.08,20,1675 ,elec_BR_PA,67000 ,1,TRUE,0.93,1,0,FALSE,FALSE,elec_BR_PA,0,0,1,FALSE,0.93,1,0,"Lazard's Levelized Cost of Energy+ (LCOE+), NREL ATB 2024"
Battery,BR_PB_battery,BR_PB,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,0.08,10,8000,0,FALSE,1,1,348000,0,1,1,0,TRUE,TRUE,TRUE,TRUE,30,0.08,20,1675 ,elec_BR_PB,67000 ,1,TRUE,0.93,1,0,FALSE,FALSE,elec_BR_PB,0,0,1,FALSE,0.93,1,0,"Lazard's Levelized Cost of Energy+ (LCOE+), NREL ATB 2024"
Battery,BR_PR_battery,BR_PR,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,0.08,10,8000,0,FALSE,1,1,348000,0,1,1,0,TRUE,TRUE,TRUE,TRUE,30,0.08,20,1675 ,elec_BR_PR,67000 ,1,TRUE,0.93,1,0,FALSE,FALSE,elec_BR_PR,0,0,1,FALSE,0.93,1,0,"Lazard's Levelized Cost of Energy+ (LCOE+), NREL ATB 2024"
Battery,BR_PE_battery,BR_PE,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,0.08,10,8000,0,FALSE,1,1,348000,0,1,1,0,TRUE,TRUE,TRUE,TRUE,30,0.08,20,1675 ,elec_BR_PE,67000 ,1,TRUE,0.93,1,0,FALSE,FALSE,elec_BR_PE,0,0,1,FALSE,0.93,1,0,"Lazard's Levelized Cost of Energy+ (LCOE+), NREL ATB 2024"
Battery,BR_PI_battery,BR_PI,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,0.08,10,8000,0,FALSE,1,1,348000,0,1,1,0,TRUE,TRUE,TRUE,TRUE,30,0.08,20,1675 ,elec_BR_PI,67000 ,1,TRUE,0.93,1,0,FALSE,FALSE,elec_BR_PI,0,0,1,FALSE,0.93,1,0,"Lazard's Levelized Cost of Energy+ (LCOE+), NREL ATB 2024"
Battery,BR_RJ_battery,BR_RJ,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,0.08,10,8000,0,FALSE,1,1,348000,0,1,1,0,TRUE,TRUE,TRUE,TRUE,30,0.08,20,1675 ,elec_BR_RJ,67000 ,1,TRUE,0.93,1,0,FALSE,FALSE,elec_BR_RJ,0,0,1,FALSE,0.93,1,0,"Lazard's Levelized Cost of Energy+ (LCOE+), NREL ATB 2024"
Battery,BR_RN_battery,BR_RN,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,0.08,10,8000,0,FALSE,1,1,348000,0,1,1,0,TRUE,TRUE,TRUE,TRUE,30,0.08,20,1675 ,elec_BR_RN,67000 ,1,TRUE,0.93,1,0,FALSE,FALSE,elec_BR_RN,0,0,1,FALSE,0.93,1,0,"Lazard's Levelized Cost of Energy+ (LCOE+), NREL ATB 2024"
Battery,BR_RS_battery,BR_RS,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,0.08,10,8000,0,FALSE,1,1,348000,0,1,1,0,TRUE,TRUE,TRUE,TRUE,30,0.08,20,1675 ,elec_BR_RS,67000 ,1,TRUE,0.93,1,0,FALSE,FALSE,elec_BR_RS,0,0,1,FALSE,0.93,1,0,"Lazard's Levelized Cost of Energy+ (LCOE+), NREL ATB 2024"
Battery,BR_RO_battery,BR_RO,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,0.08,10,8000,0,FALSE,1,1,348000,0,1,1,0,TRUE,TRUE,TRUE,TRUE,30,0.08,20,1675 ,elec_BR_RO,67000 ,1,TRUE,0.93,1,0,FALSE,FALSE,elec_BR_RO,0,0,1,FALSE,0.93,1,0,"Lazard's Levelized Cost of Energy+ (LCOE+), NREL ATB 2024"
Battery,BR_RR_battery,BR_RR,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,0.08,10,8000,0,FALSE,1,1,348000,0,1,1,0,TRUE,TRUE,TRUE,TRUE,30,0.08,20,1675 ,elec_BR_RR,67000 ,1,TRUE,0.93,1,0,FALSE,FALSE,elec_BR_RR,0,0,1,FALSE,0.93,1,0,"Lazard's Levelized Cost of Energy+ (LCOE+), NREL ATB 2024"
Battery,BR_SC_battery,BR_SC,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,0.08,10,8000,0,FALSE,1,1,348000,0,1,1,0,TRUE,TRUE,TRUE,TRUE,30,0.08,20,1675 ,elec_BR_SC,67000 ,1,TRUE,0.93,1,0,FALSE,FALSE,elec_BR_SC,0,0,1,FALSE,0.93,1,0,"Lazard's Levelized Cost of Energy+ (LCOE+), NREL ATB 2024"
Battery,BR_SP_battery,BR_SP,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,0.08,10,8000,0,FALSE,1,1,348000,0,1,1,0,TRUE,TRUE,TRUE,TRUE,30,0.08,20,1675 ,elec_BR_SP,67000 ,1,TRUE,0.93,1,0,FALSE,FALSE,elec_BR_SP,0,0,1,FALSE,0.93,1,0,"Lazard's Levelized Cost of Energy+ (LCOE+), NREL ATB 2024"
Battery,BR_SE_battery,BR_SE,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,0.08,10,8000,0,FALSE,1,1,348000,0,1,1,0,TRUE,TRUE,TRUE,TRUE,30,0.08,20,1675 ,elec_BR_SE,67000 ,1,TRUE,0.93,1,0,FALSE,FALSE,elec_BR_SE,0,0,1,FALSE,0.93,1,0,"Lazard's Levelized Cost of Energy+ (LCOE+), NREL ATB 2024"
Battery,BR_TO_battery,BR_TO,Electricity,TRUE,Electricity,TRUE,Electricity,0,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,10,10,0.08,10,8000,0,FALSE,1,1,348000,0,1,1,0,TRUE,TRUE,TRUE,TRUE,30,0.08,20,1675 ,elec_BR_TO,67000 ,1,TRUE,0.93,1,0,FALSE,FALSE,elec_BR_TO,0,0,1,FALSE,0.93,1,0,"Lazard's Levelized Cost of Energy+ (LCOE+), NREL ATB 2024"
