Type,location,id,edges--edge--constraints--MaxCapacityConstraint,edges--edge--constraints--CapacityConstraint,edges--edge--can_retire,edges--edge--unidirectional,edges--edge--commodity,edges--edge--can_expand,edges--edge--has_capacity,transforms--timedata,edges--edge--lifetime,edges--edge--wacc,edges--edge--capital_recovery_period,edges--edge--max_capacity,edges--edge--fixed_om_cost,edges--edge--variable_om_cost,edges--edge--investment_cost,edges--edge--availability--timeseries--path,edges--edge--availability--timeseries--header,edges--edge--end_vertex,edges--edge--existing_capacity,edges--edge--capacity_size,Note
VRE,BR_PR,BR_PR_Wind_Onshore_Class1,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,24080.637,50000,0,1000000,system/availability_wind_onshore.csv,BR_PR_Wind_Onshore_Class1,elec_BR_PR,66,100,work in progress
VRE,BR_PR,BR_PR_Wind_Onshore_Class3,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,2138.884,50000,0,1000000,system/availability_wind_onshore.csv,BR_PR_Wind_Onshore_Class3,elec_BR_PR,0,100,work in progress
VRE,BR_RJ,BR_RJ_Wind_Onshore_Class0,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,1076.519,50000,0,1000000,system/availability_wind_onshore.csv,BR_RJ_Wind_Onshore_Class2,elec_BR_RJ,28.05,100,work in progress
VRE,BR_RJ,BR_RJ_Wind_Onshore_Class1,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,1114.031,50000,0,1000000,system/availability_wind_onshore.csv,BR_RJ_Wind_Onshore_Class1,elec_BR_RJ,0,100,work in progress
VRE,BR_RN,BR_RN_Wind_Onshore_Class0,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,12488.484,50000,0,1000000,system/availability_wind_onshore.csv,BR_RN_Wind_Onshore_Class2,elec_BR_RN,0,100,work in progress
VRE,BR_RN,BR_RN_Wind_Onshore_Class1,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,96734.01,50000,0,1000000,system/availability_wind_onshore.csv,BR_RN_Wind_Onshore_Class1,elec_BR_RN,10775.045,100,work in progress
VRE,BR_RO,BR_RO_Wind_Onshore_Class0,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,36512.378,50000,0,1000000,system/availability_wind_onshore.csv,BR_RO_Wind_Onshore_Class1,elec_BR_RO,0,100,work in progress
VRE,BR_RO,BR_RO_Wind_Onshore_Class2,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,19313,50000,0,1000000,system/availability_wind_onshore.csv,BR_RO_Wind_Onshore_Class2,elec_BR_RO,0,100,work in progress
VRE,BR_RO,BR_RO_Wind_Onshore_Class3,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,149492.374,50000,0,1000000,system/availability_wind_onshore.csv,BR_RO_Wind_Onshore_Class3,elec_BR_RO,0,100,work in progress
VRE,BR_RR,BR_RR_Wind_Onshore_Class2,TRUE,TRUE,TRUE,TRUE,Electricity,TRUE,TRUE,Electricity,10,0.1,10,25810,50000,0,1000000,system/availability_wind_onshore.csv,BR_RR_Wind_Onshore_Class2,elec_BR_RR,0,100,work in progress
