Time_Index,elec_demand_SE,elec_demand_S,elec_demand_NE,elec_demand_N,Demand_Zero
1,31588.1448,11344.3068,22440.8292,10717.2504,0
2,31178.8596,11978.7012,22755.9996,10695.3624,0
3,30879.4236,11394.3732,23501.2836,10685.1852,0
4,30047.172,11218.6908,23315.2308,10705.3956,0
5,28963.7172,10641.6972,23868.3624,10644.0264,0
6,27659.5572,10514.1804,23970.3804,9614.6352,0
7,28482.5736,10858.362,23231.0868,7938.5028,0
8,31440.7404,9864.3876,21754.7568,7222.8552,0
9,34051.9032,10441.02,18453.0192,7030.152,0
10,36656.3076,10670.754,16087.1796,7439.304,0
11,38484.4116,11488.6404,14854.662,7763.0964,0
12,38612.7516,12589.7352,14891.3004,7853.8848,0
13,37921.224,12651.2556,14886.5556,7818.0756,0
14,37115.7312,12343.4592,15073.0392,7666.4028,0
15,35904.696,12406.32,16562.112,7483.2096,0
16,35421.6204,12831.2568,18576.7776,7218.8316,0
17,35599.5,14160.4992,19520.958,7325.6172,0
18,36678.5652,14898.546,18639.5916,8854.0704,0
19,37436.8788,14649.306,20789.1216,11099.3472,0
20,39351.2664,14640.7668,22704.3684,13379.124,0
21,39635.886,14481.0768,22797.5448,14371.4544,0
22,39877.008,13698.0912,22592.0304,14982.606,0
23,39149.8356,12868.8024,22601.9844,15048.1056,0
24,37911.222,10739.9688,23072.3628,14830.8564,0
25,38007.7872,9091.23,22658.0376,13162.152,0
26,37114.4196,9247.6752,22613.6712,10602.0312,0
27,36496.224,8733.516,23221.0104,8988.3108,0
28,35759.1312,8351.0592,23289.0852,8593.2288,0
29,35530.1532,8595.8124,22649.3916,8585.6772,0
30,35661.0936,8555.3076,22965.3504,8088.3084,0
31,36427.2732,9276.3204,24817.6464,7104.966,0
32,38598.5976,10009.2384,27526.074,7090.7064,0
33,41993.2056,10770.3372,27548.5476,7290.612,0
34,44811.9396,12338.0172,25143.0612,7785.5484,0
35,47575.932,13312.0212,24632.1492,8012.8536,0
36,49730.5404,14322.4548,23418.09,8020.4208,0
37,50524.1784,14609.2152,22115.4996,7906.4232,0
38,50979.9948,15506.316,22160.7792,8174.4504,0
