Time_Index,Demand_Zero ,Demand_Ammonia,Demand_Biomethane,Demand_Gasoline,Demand_BioDiesel,Demand_GreenDiesel,Demand_Jetfuel,Demand_Ethanol,Demand_Charcoal 
1,0,1050588,171864,33459334.52,3250207.422,7020447.588,4302120.438,9779078.232,16112.25
2,0,1050588,171864,33459334.52,3250207.422,7020447.588,4302120.438,9779078.232,16112.25
3,0,1050588,171864,33459334.52,3250207.422,7020447.588,4302120.438,9779078.232,16112.25
4,0,1050588,171864,33459334.52,3250207.422,7020447.588,4302120.438,9779078.232,16112.25
5,0,1050588,171864,33459334.52,3250207.422,7020447.588,4302120.438,9779078.232,16112.25
6,0,1050588,171864,33459334.52,3250207.422,7020447.588,4302120.438,9779078.232,16112.25
7,0,1050588,171864,33459334.52,3250207.422,7020447.588,4302120.438,9779078.232,16112.25
8,0,1050588,171864,33459334.52,3250207.422,7020447.588,4302120.438,9779078.232,16112.25
9,0,1050588,171864,33459334.52,3250207.422,7020447.588,4302120.438,9779078.232,16112.25
10,0,1050588,171864,33459334.52,3250207.422,7020447.588,4302120.438,9779078.232,16112.25
11,0,1050588,171864,33459334.52,3250207.422,7020447.588,4302120.438,9779078.232,16112.25
12,0,1050588,171864,33459334.52,3250207.422,7020447.588,4302120.438,9779078.232,16112.25
